Row	Column	Timepoint	Nuclei_Number_of_Objects	Nuclei_IntNucGFP_Mean_Mean_per_Well	Nuclei_IntNucGFP_StdDev_Mean_per_Well	Nuclei_IntNucGFP_Sum_Mean_per_Well	Nuclei_IntNucGFP_Contrast_Mean_per_Well	Nuclei_IntCell DPC Mean_Mean_per_Well	Nuclei_IntCell_DPC_StdDev_Mean_per_Well	Nuclei_IntCell_DPC_Sum_Mean_per_Well	Nuclei_IntCell_DPC_Contrast_Mean_per_Well	Nuclei_NucMoph_Area_Micrometers_Mean_per_Well	Nuclei_NucMoph_Roundness_Mean_per_Well	Nuclei_NucMoph_Ratio_Width_to_Length_Mean_per_Well	Nuclei_CellMoph_Area_Micrometers_ Mean_per_Well	Nuclei_CellMoph_Roundness_Mean_per_Well	Nuclei_CellMoph_Ratio_Width_to_Length_Mean_per_Well	Time_in_seconds	Compound	Concentration
P	1	0	35	532.3	80.59	64846	0.3981	770.3	350.9	337492	0.8454	123.9	0.862	0.5904	514.8	0.7456	0.425	0	Mock	0
P	1	1	3526	196.5	7.007	8555	0.03638	47.91	23.98	7163	0.06819	41.73	0.5556	0.3726	61.73	0.5868	0.3865	1803	Mock	0
P	1	2	18482	215.6	9.634	10709	0.04287	34.56	24.55	2460	0.09233	48.88	0.6753	0.433	52.46	0.6962	0.4427	3602	Mock	0
P	1	3	17764	231.3	9.479	11464	0.04127	31.83	22.96	2264	-0.01899	48.76	0.676	0.4325	51.76	0.6913	0.4399	5403	Mock	0
P	1	4	806	265.7	12.08	18944	0.04732	89.53	49.25	29375	0.0906	67.16	0.5098	0.3518	129.3	0.5398	0.3577	7202	Mock	0
P	1	5	17330	244.1	9.784	12293	0.04055	32.65	21.75	2348	-0.03144	49.54	0.6751	0.4322	52.38	0.6892	0.4389	9003	Mock	0
P	1	6	456	289.2	16.9	26844	0.06436	118.3	62.37	48526	0.1793	89.33	0.5322	0.3715	167.3	0.5529	0.3659	10802	Mock	0
P	1	7	882	266	12.32	17683	0.04699	95.74	51.61	28997	0.1748	62.26	0.513	0.3555	122.8	0.5495	0.3629	12603	Mock	0
P	1	8	17802	250.5	9.826	12609	0.0421	31.65	20.76	2284	-0.09296	49.51	0.6758	0.4336	52.44	0.6918	0.4415	14402	Mock	0
P	1	9	63	577.6	89.81	65526	0.3623	845.8	394.6	378724	0.8402	117.8	0.8445	0.6156	454.5	0.7596	0.4615	16203	Mock	0
P	1	10	16981	244.6	9.946	12446	0.04171	34.46	22.2	2618	-0.06557	50.04	0.677	0.4346	53.08	0.6913	0.4413	18002	Mock	0
P	1	11	182	378.5	41.11	40228	0.151	335.2	160.5	136569	0.3906	104.7	0.6558	0.4728	258.3	0.6439	0.4131	19802	Mock	0
P	1	12	17438	254.8	9.748	12779	0.04045	37.94	23.59	2750	-0.0744	49.34	0.6753	0.4322	52.49	0.692	0.4405	21602	Mock	0
P	1	13	127	422	47.81	43663	0.209	456.2	218.8	182765	0.4931	99.49	0.6924	0.4834	288.2	0.6662	0.415	23402	Mock	0
P	1	14	635	301.4	15.98	25055	0.05837	114.9	61.07	43800	0.1855	79.45	0.5356	0.3735	156.6	0.5542	0.3686	25202	Mock	0
P	1	15	817	298.1	14.22	22334	0.05172	114.7	59.44	38152	0.2036	71.3	0.5022	0.3539	145.7	0.5371	0.3587	27002	Mock	0
P	1	16	293	326.3	27.52	35094	0.1106	237.9	119.9	100188	0.3367	109.4	0.5688	0.4005	242.4	0.5637	0.3734	28802	Mock	0
P	1	17	79	564.7	79.61	65097	0.3325	834.1	376.8	343939	0.8292	121.4	0.8837	0.6196	452.3	0.733	0.4403	30603	Mock	0
P	1	18	832	292.3	14.97	22087	0.05492	127.2	68.04	41534	0.2093	71.04	0.5277	0.3628	139.4	0.5496	0.3608	34202	Mock	0
P	1	19	18107	269	10.28	13540	0.03544	41.16	25.2	3046	-0.021	49.47	0.6766	0.4338	53.16	0.6936	0.4418	37802	Mock	0
P	1	20	95	562.9	76.81	66093	0.3192	760.8	353.1	316327	0.8112	121.9	0.8517	0.6017	418.5	0.7543	0.4529	41402	Mock	0
P	1	21	17787	254	9.951	12856	0.03665	42.46	25.75	3193	-0.04582	49.7	0.676	0.4332	53.15	0.6928	0.441	45002	Mock	0
P	1	22	550	333.7	20.5	27557	0.08029	217.6	104	77255	0.2827	76.29	0.5393	0.3719	178.3	0.5638	0.3638	48603	Mock	0
P	1	23	337	366.4	28.9	33823	0.1208	297.8	144.3	110695	0.3199	84.88	0.5949	0.4183	210.6	0.5891	0.3723	52202	Mock	0
O	1	0	33	554.3	84.32	76713	0.3998	897.9	418.5	311468	0.8852	146	0.8703	0.5994	428.7	0.7908	0.4738	0	Mock	0
O	1	1	456	234.7	14.54	17902	0.08231	252.3	99.75	43388	0.08273	71.37	0.5717	0.3869	133.6	0.6006	0.3898	1803	Mock	0
O	1	2	3026	218.5	7.858	9255	0.0373	64.74	33.12	8950	0.09268	40.17	0.5633	0.3771	63.67	0.6	0.3931	3602	Mock	0
O	1	3	17506	230.4	9.828	11474	0.04393	39.11	26.37	2658	-0.1106	49.01	0.6766	0.435	51.96	0.6909	0.4416	5402	Mock	0
O	1	4	1157	260.8	11.75	16814	0.04621	118.2	57.56	23604	0.1004	61.64	0.5381	0.3716	105.4	0.5759	0.3829	7202	Mock	0
O	1	5	18140	245.2	9.792	12154	0.04184	33.1	22.28	2309	-0.04503	48.81	0.6775	0.4338	52.08	0.6932	0.4411	9003	Mock	0
O	1	6	300	310.3	23.15	35719	0.09545	258.4	118.3	78627	0.2467	116.6	0.5707	0.4062	204.2	0.5877	0.3859	10802	Mock	0
O	1	7	747	275.6	13.15	19273	0.0581	147.6	66.27	31693	0.108	66.19	0.5357	0.3622	125.6	0.5664	0.367	12603	Mock	0
O	1	8	382	302.9	19.79	31210	0.08241	263.5	116.4	65518	0.2412	100.6	0.5665	0.3945	182	0.5851	0.3856	14402	Mock	0
O	1	9	272	321.2	23.33	36345	0.09983	296.2	148.3	94438	0.3001	111.7	0.5722	0.3982	232.3	0.5994	0.3874	16203	Mock	0
O	1	10	217	344.6	29.04	41718	0.1316	384.6	175	110526	0.3304	126.6	0.6353	0.4355	271.7	0.6381	0.4076	18002	Mock	0
O	1	11	17033	257.1	10.22	12883	0.04219	35.62	21.93	2495	-0.04979	49.33	0.676	0.4338	52.5	0.6917	0.4416	19803	Mock	0
O	1	12	17100	258.5	10.06	12945	0.04219	33.47	21.04	2349	-0.01329	49.3	0.6762	0.4343	52.49	0.6915	0.4412	21602	Mock	0
O	1	13	16875	247.9	10	12588	0.04215	34.18	21.07	2510	-0.04546	50.02	0.6745	0.4324	53.52	0.6901	0.4394	23402	Mock	0
O	1	14	125	426.6	46.9	79763	0.1797	486.8	236.7	186523	0.5061	229	0.6606	0.4755	430	0.6645	0.4373	25202	Mock	0
O	1	15	16673	261.3	10.19	13626	0.04232	37.31	22.89	2786	-0.07849	51.36	0.6727	0.4318	54.69	0.6889	0.4394	27002	Mock	0
O	1	16	17365	247.9	9.869	12503	0.04243	35.52	21.82	2561	-0.07016	49.67	0.6758	0.433	52.84	0.6913	0.4399	28802	Mock	0
O	1	17	691	299.8	15.05	25181	0.05464	146.2	75.58	39714	0.1779	82.19	0.5083	0.3541	159.2	0.5479	0.3587	30603	Mock	0
O	1	18	17753	258.6	9.909	12880	0.03891	36.89	22.51	2606	-0.01073	49.06	0.6768	0.4349	52.42	0.6938	0.4432	34202	Mock	0
O	1	19	17617	266.9	10.6	13411	0.03709	33.27	20.91	2396	0.01178	49.46	0.6746	0.4329	53.21	0.6923	0.4411	37802	Mock	0
O	1	20	17405	272.1	10.27	13779	0.03665	37.05	22.64	2669	-0.04464	49.82	0.6756	0.4331	53.14	0.6919	0.4408	41402	Mock	0
O	1	21	18633	252.2	9.716	12595	0.03886	36.68	22.46	2536	-0.005895	49.16	0.6786	0.4346	52.51	0.6961	0.443	45002	Mock	0
O	1	22	628	307.4	16.54	24938	0.05924	148.4	75.59	43634	0.162	76.98	0.5457	0.379	153.8	0.5677	0.3737	48603	Mock	0
O	1	23	71	576.3	81.63	71487	0.3271	867.9	415.7	304091	0.8046	140.3	0.849	0.5955	368.4	0.7677	0.4637	52202	Mock	0
N	1	0	176	519.8	78.83	69634	0.3802	1006	465.5	446865	0.8715	132.5	0.8761	0.6089	500.3	0.7496	0.4209	0	Mock	0
N	1	1	228	404.7	56.18	51390	0.308	607.8	268.7	271536	0.7136	120.5	0.8074	0.5535	431.9	0.7147	0.4204	1802	Mock	0
N	1	2	224	439.6	61.06	58467	0.3141	610.6	277.4	263611	0.7815	127.6	0.8276	0.5725	442.3	0.7447	0.4445	3601	Mock	0
N	1	3	207	469	63.57	63824	0.3223	582.1	264.8	263336	0.8313	134.5	0.8708	0.6188	485	0.7703	0.4686	5401	Mock	0
N	1	4	210	493.8	69.73	68100	0.3285	581.5	270.7	247302	0.8132	139.2	0.8617	0.6091	481	0.7585	0.4503	7201	Mock	0
N	1	5	217	494.8	65.96	67780	0.319	617.6	291.1	275775	0.799	135.1	0.859	0.6083	491.6	0.7486	0.4451	9002	Mock	0
N	1	6	205	503.3	67.56	71200	0.3196	626.6	289	286727	0.7976	141.4	0.8756	0.6265	489.3	0.754	0.4418	10801	Mock	0
N	1	7	218	498.8	69.86	66823	0.3244	702.6	322.8	322923	0.825	136.2	0.8343	0.6093	504.2	0.7609	0.4541	12601	Mock	0
N	1	8	214	534.7	75.83	72957	0.3314	672.9	307.2	288242	0.8074	138.7	0.8602	0.6083	489.8	0.7466	0.4426	14401	Mock	0
N	1	9	203	539.1	77.88	73970	0.3395	677.8	314.4	331249	0.829	143.7	0.8721	0.6177	536.5	0.741	0.436	16201	Mock	0
N	1	10	222	513.8	69.95	67670	0.3263	696.2	314	317515	0.8181	132.9	0.8568	0.6084	489.1	0.7494	0.4407	18001	Mock	0
N	1	11	213	531.8	72.4	75293	0.3278	694.6	318.7	337579	0.8191	144.5	0.8731	0.6215	525.3	0.7433	0.4474	19801	Mock	0
N	1	12	212	528.6	73.37	75220	0.3263	693.8	326.5	335916	0.8261	145.9	0.8672	0.6124	537.1	0.7448	0.4496	21601	Mock	0
N	1	13	230	507.2	70.49	68464	0.3264	742	341.7	355070	0.8391	135.1	0.8288	0.5922	513.8	0.7416	0.4323	23401	Mock	0
N	1	14	231	532.3	71.4	73057	0.3192	696.5	317.2	331040	0.8087	138.1	0.8745	0.6195	510.3	0.7397	0.4348	25201	Mock	0
N	1	15	233	540	74.06	73745	0.3243	683	315.1	325178	0.8182	139.1	0.8692	0.6104	517.1	0.7505	0.4448	27001	Mock	0
N	1	16	474	378.9	38.81	42712	0.1737	406.3	190.5	180224	0.4939	100.6	0.6864	0.4781	323.4	0.6596	0.41	28801	Mock	0
N	1	17	240	539.1	75.08	73795	0.3295	714.9	334	344374	0.8043	139.3	0.8624	0.6057	508.1	0.7393	0.4419	30602	Mock	0
N	1	18	248	535.5	76.52	69496	0.3303	809.2	358.2	327719	0.8197	132	0.85	0.5904	484.6	0.7409	0.441	34201	Mock	0
N	1	19	481	423.3	42.46	45020	0.1841	518	236.4	200301	0.5781	94.05	0.6884	0.4719	328.8	0.6648	0.3991	37801	Mock	0
N	1	20	497	414.5	41.32	44697	0.1719	433.2	199.5	184408	0.5143	95.5	0.673	0.4706	320.2	0.6498	0.3985	41401	Mock	0
N	1	21	274	509.2	67.6	66592	0.3074	759	349.7	355450	0.7706	130.9	0.8471	0.5977	488.2	0.7268	0.4285	45001	Mock	0
N	1	22	298	516.2	66.09	65753	0.2853	750.7	338.8	338013	0.7248	123.1	0.8249	0.571	475.6	0.7233	0.4263	48602	Mock	0
N	1	23	287	518.3	66.61	68881	0.3042	735.2	333.8	318825	0.7794	131.9	0.8473	0.5868	480.2	0.7463	0.4371	52201	Mock	0
M	1	0	465	318.9	30.13	34883	0.138	358	174.2	153859	0.4771	100	0.5913	0.4154	303.8	0.6139	0.3846	0	Mock	0
M	1	1	338	314	35.83	37356	0.1926	470.5	217.3	223834	0.4947	111.1	0.6562	0.4622	350.9	0.6472	0.4042	1802	Mock	0
M	1	2	182	479.4	68.53	63457	0.3347	721.2	327.8	318468	0.8151	135.6	0.8554	0.6066	500.3	0.7708	0.475	3601	Mock	0
M	1	3	250	421.6	53.51	52309	0.2444	417	195.5	199085	0.5537	114.3	0.7538	0.5325	390.7	0.6965	0.4287	5401	Mock	0
M	1	4	191	515.7	73.78	68729	0.3257	576.1	265.8	261533	0.7634	138.4	0.8626	0.6112	488.7	0.7729	0.4776	7201	Mock	0
M	1	5	196	540.9	78.51	70542	0.3326	607.3	270.5	286907	0.7787	138.2	0.8719	0.6203	517.4	0.7631	0.4658	9002	Mock	0
M	1	6	206	538.5	82.51	69932	0.3349	605.5	272.3	270762	0.7636	135	0.8288	0.5888	476.4	0.7644	0.4619	10801	Mock	0
M	1	7	196	540.2	81.69	71712	0.3448	654.1	296.3	295646	0.7952	139.5	0.8836	0.6299	491.3	0.7883	0.4761	12602	Mock	0
M	1	8	197	568.1	81.73	73502	0.3431	588.7	266.9	263956	0.7531	135.5	0.8861	0.6274	477.1	0.7773	0.4677	14401	Mock	0
M	1	9	203	544	78.33	72040	0.3311	622	279.6	307662	0.7679	136.6	0.8754	0.6266	523.3	0.7631	0.4625	16202	Mock	0
M	1	10	199	557.1	81.01	73213	0.3428	662.8	298.5	298106	0.7876	138.1	0.8914	0.6363	487.9	0.7783	0.4683	18001	Mock	0
M	1	11	211	555.3	79.4	72259	0.3359	691.2	315.8	308923	0.7875	135.5	0.8785	0.6234	487.5	0.7703	0.4629	19801	Mock	0
M	1	12	210	566.9	81.24	73323	0.3428	740.9	336	331381	0.7886	136.3	0.8815	0.6236	495.5	0.7718	0.4688	21601	Mock	0
M	1	13	214	537	76.1	70230	0.3387	741.5	340.4	335559	0.7654	133.8	0.8717	0.6284	492.9	0.7644	0.4584	23401	Mock	0
M	1	14	225	555.4	81.05	74080	0.3274	704.7	327	324605	0.7784	136.2	0.8637	0.6115	503.4	0.7623	0.4526	25201	Mock	0
M	1	15	227	560.8	82.67	75668	0.3323	752.7	350.9	353275	0.7694	137.8	0.8669	0.6144	503.5	0.7471	0.4503	27001	Mock	0
M	1	16	216	525.8	76.15	73389	0.3273	780.8	353.2	386498	0.7743	142.3	0.8699	0.6216	535.3	0.7497	0.4557	28801	Mock	0
M	1	17	250	548	77.45	71794	0.3156	739.4	337.6	328296	0.7108	131.1	0.8406	0.5943	450.8	0.7471	0.448	30602	Mock	0
M	1	18	249	516.2	69.12	68327	0.2974	764.4	344.5	334514	0.7402	130	0.84	0.6016	490.5	0.7338	0.4425	34201	Mock	0
M	1	19	519	408.1	39.53	44176	0.1557	430.1	200.3	172661	0.4989	95.43	0.6584	0.4617	312.6	0.6482	0.4044	37801	Mock	0
M	1	20	290	525.2	67.36	65205	0.2753	707.9	320.7	291927	0.7176	118	0.8035	0.5602	457.4	0.7256	0.4257	41401	Mock	0
M	1	21	479	407	42.31	42795	0.183	550.7	258	210612	0.5472	93.44	0.6755	0.4718	328.3	0.657	0.4064	45001	Mock	0
M	1	22	308	515.4	66.73	61924	0.2657	669.3	309	284650	0.6999	115.8	0.7851	0.5503	424.5	0.71	0.4248	48602	Mock	0
M	1	23	264	549	74.45	70409	0.3053	847.8	387.7	362697	0.7479	129	0.8444	0.6002	475.4	0.7342	0.4337	52201	Mock	0
L	1	0	655	289.4	21.68	29214	0.1131	282.7	130.6	100958	0.3468	91.35	0.5984	0.4116	224.4	0.634	0.404	0	Mock	0
L	1	1	500	274.3	24.69	31208	0.1462	277.5	122.9	86796	0.3727	106.2	0.6386	0.4423	226	0.6589	0.4215	1802	Mock	0
L	1	2	549	292.9	24.74	32759	0.1373	295.9	128.2	90316	0.3765	103.7	0.6384	0.448	219.6	0.6496	0.4213	3601	Mock	0
L	1	3	1301	262.5	14.54	21309	0.06998	153.5	75.37	43650	0.1074	73.3	0.5846	0.401	130.2	0.6179	0.4017	5402	Mock	0
L	1	4	443	339.9	31.49	42308	0.1585	348.5	155.8	125882	0.4334	120.2	0.6661	0.4631	271.1	0.6714	0.424	7201	Mock	0
L	1	5	526	330.2	28.26	43312	0.1383	290.3	136.8	104641	0.3663	131.5	0.6396	0.4535	269.2	0.6446	0.423	9002	Mock	0
L	1	6	631	313	23.74	36237	0.1184	249.8	115.3	90317	0.2784	109.9	0.6262	0.4368	221.5	0.6301	0.4077	10801	Mock	0
L	1	7	576	314.5	25.52	38022	0.1286	257.8	121.7	99600	0.3726	116.1	0.6261	0.4423	254.2	0.634	0.4108	12602	Mock	0
L	1	8	565	329.8	26.28	40375	0.1279	314.3	134.7	162389	0.3143	118.4	0.6272	0.4471	273.7	0.636	0.4105	14401	Mock	0
L	1	9	511	339.3	28.61	41802	0.142	297.9	134.1	115697	0.3519	120.2	0.6584	0.4569	267.8	0.6593	0.4231	16202	Mock	0
L	1	10	508	334.1	27.99	42386	0.1388	336.8	139	171666	0.3292	123.2	0.6508	0.4583	286.4	0.6562	0.4252	18001	Mock	0
L	1	11	576	329.8	26.21	41728	0.126	263.3	119.4	107410	0.3425	122.7	0.6298	0.4376	268.3	0.6351	0.4125	19801	Mock	0
L	1	12	437	365.1	34.16	45366	0.1617	394.7	185.1	153309	0.5114	120.8	0.6727	0.4734	313.8	0.6716	0.4308	21601	Mock	0
L	1	13	932	293.8	19.14	28995	0.09101	286.4	114.4	121604	0.1951	92.26	0.61	0.42	190.5	0.6368	0.4093	23401	Mock	0
L	1	14	534	347.2	28.58	40892	0.1366	378.7	164	193882	0.3568	111.7	0.649	0.4522	274.2	0.6545	0.4161	25201	Mock	0
L	1	15	440	367	32.42	47417	0.1535	352.7	154.5	149998	0.4271	124.2	0.6691	0.4735	315	0.6589	0.4198	27001	Mock	0
L	1	16	352	381.9	39.26	50814	0.1914	481.6	209.8	207416	0.5295	129.9	0.7049	0.4942	342.6	0.6925	0.4291	28801	Mock	0
L	1	17	409	385.2	37.54	54143	0.1701	878.5	247.9	544439	0.4748	143.8	0.6807	0.481	382.7	0.6631	0.4131	30602	Mock	0
L	1	18	445	366.3	33.99	46485	0.1575	464.4	204.8	179359	0.484	127.2	0.6579	0.4645	310.4	0.6534	0.417	34201	Mock	0
L	1	19	357	413	41.99	58466	0.1829	575.7	241.7	341391	0.4716	146.6	0.6799	0.4878	387.3	0.6585	0.4167	37801	Mock	0
L	1	20	338	428.1	44.19	53117	0.1987	590.4	267.9	243439	0.5616	119.9	0.7056	0.4927	365.3	0.6748	0.4154	41401	Mock	0
L	1	21	303	441	50.3	56529	0.2331	712.2	312.2	263221	0.6156	133.8	0.7445	0.5165	387.9	0.6949	0.4279	45001	Mock	0
L	1	22	246	502.9	61.35	62359	0.2832	913.4	393.1	337883	0.7102	120.6	0.8326	0.5715	420.4	0.7595	0.4571	48602	Mock	0
L	1	23	243	497.1	61.55	65739	0.2807	1009	392.8	430102	0.6765	132.9	0.8348	0.5791	445.5	0.751	0.4521	52201	Mock	0
K	1	0	427	328.1	32.26	32786	0.1442	287.9	133.8	103572	0.3944	88.99	0.6005	0.4193	248.2	0.607	0.3874	0	Mock	0
K	1	1	361	302	32.14	37362	0.17	324.4	151.2	132635	0.4413	121.6	0.6354	0.4553	298.9	0.6233	0.4057	1802	Mock	0
K	1	2	344	335.7	35.62	38127	0.1749	393	179.6	139079	0.5131	105.9	0.6466	0.4632	283.4	0.6473	0.4225	3601	Mock	0
K	1	3	378	350.9	36.19	39878	0.1664	315.5	147.5	119680	0.3673	107.7	0.6418	0.4642	266.8	0.6183	0.4049	5402	Mock	0
K	1	4	261	421.4	51.29	50031	0.2309	442.1	205.5	171035	0.5697	111.3	0.7359	0.5316	332.7	0.6956	0.4425	7201	Mock	0
K	1	5	173	544.9	78.59	70368	0.3378	614.7	277.5	244067	0.7672	135.4	0.8803	0.6358	436.1	0.7829	0.4824	9002	Mock	0
K	1	6	264	436.6	52.57	47398	0.2301	407.1	185.9	148993	0.5692	99.16	0.7435	0.521	319.2	0.6951	0.4296	10801	Mock	0
K	1	7	364	374.6	40.97	44257	0.1752	325.6	152.5	131366	0.4747	114.3	0.6637	0.4744	303.1	0.6483	0.4182	12602	Mock	0
K	1	8	198	542.5	82.03	67955	0.3245	635.8	291	234608	0.7632	128.6	0.8531	0.6042	409.4	0.7799	0.479	14401	Mock	0
K	1	9	191	541.6	81.23	69418	0.3326	649.7	297.6	252609	0.7756	133.7	0.8628	0.6144	441.4	0.7821	0.4809	16202	Mock	0
K	1	10	179	557	80.95	71431	0.3421	593	281.3	252138	0.7803	135.2	0.8803	0.6357	451.4	0.7759	0.4874	18001	Mock	0
K	1	11	186	572	81.61	70765	0.3459	651.2	294.1	252063	0.7705	129.8	0.8759	0.6274	421.1	0.7802	0.4788	19802	Mock	0
K	1	12	187	580.5	83.17	72371	0.3465	694.1	312.7	274868	0.7477	128.5	0.8755	0.6267	429.8	0.7854	0.4832	21601	Mock	0
K	1	13	187	568.6	83.21	70410	0.3551	716.9	313.1	287421	0.7449	128.9	0.8914	0.6314	440.6	0.7842	0.4822	23401	Mock	0
K	1	14	187	584.2	83.2	73497	0.3454	707.9	313.9	284654	0.732	129.2	0.8827	0.6242	440.3	0.7824	0.478	25201	Mock	0
K	1	15	186	593.8	85.23	77295	0.3486	724.8	319.3	288548	0.7291	134.6	0.9001	0.6399	434.6	0.7838	0.4818	27001	Mock	0
K	1	16	192	550.7	78.32	70372	0.3437	672.2	299	269521	0.7367	132.3	0.8824	0.6327	432.1	0.7773	0.4749	28801	Mock	0
K	1	17	187	587.5	83.26	77814	0.3432	719.7	318.2	310689	0.7716	136.5	0.8951	0.64	460.3	0.778	0.4792	30602	Mock	0
K	1	18	198	558.6	78.37	72591	0.3374	704.2	310	296382	0.741	133.1	0.877	0.6285	448.8	0.7528	0.4571	34201	Mock	0
K	1	19	201	572.1	79.7	76944	0.333	675.6	295.8	279820	0.7623	135.6	0.8809	0.6337	454.3	0.7799	0.4779	37801	Mock	0
K	1	20	219	567.6	76.87	74947	0.3239	687.1	306.8	280176	0.763	131.4	0.8665	0.6168	429.1	0.7694	0.4646	41401	Mock	0
K	1	21	223	544.1	74.23	68914	0.3387	661.3	291	273342	0.7299	127.4	0.8789	0.6192	442.6	0.7669	0.4572	45001	Mock	0
K	1	22	237	558	74.84	69870	0.3172	673	301.2	273539	0.7414	123.6	0.8594	0.6028	418.1	0.7557	0.459	48602	Mock	0
K	1	23	413	435.4	46.54	46508	0.1932	497.8	225.8	188168	0.5032	93.51	0.6986	0.4955	297.7	0.6608	0.4131	52201	Mock	0
J	1	0	182	554.7	85.91	71036	0.4014	761	335.6	301907	0.866	127.6	0.8845	0.6259	423.9	0.7762	0.4588	0	Mock	0
J	1	1	210	446.7	64.22	54230	0.3613	680.3	293.9	255077	0.8203	118.8	0.8594	0.6002	410.6	0.7799	0.4668	1802	Mock	0
J	1	2	197	493.6	71.9	62695	0.363	718.2	308.2	267899	0.8115	127.4	0.8771	0.6233	410.7	0.792	0.498	3601	Mock	0
J	1	3	206	525	76.28	65411	0.3567	648.9	283.7	240545	0.7928	124.6	0.8871	0.6365	408.5	0.7927	0.4958	5401	Mock	0
J	1	4	200	535.1	77.4	69313	0.3539	645.5	279.4	258311	0.7871	130.3	0.8887	0.6359	421.5	0.7969	0.5009	7201	Mock	0
J	1	5	203	543	77.11	71120	0.3478	635.5	284.4	247205	0.7944	131	0.8792	0.6276	421.7	0.7902	0.4902	9002	Mock	0
J	1	6	203	535	75.74	69690	0.3501	599.5	267.2	232957	0.8163	128.2	0.8802	0.6203	418.9	0.7821	0.4663	10801	Mock	0
J	1	7	206	533.9	77.46	68764	0.3551	591.6	269	233729	0.8096	128.7	0.8758	0.6194	424	0.7711	0.4721	12602	Mock	0
J	1	8	217	550	78.39	69490	0.3498	611.6	270.2	237096	0.8189	125.7	0.8742	0.6125	416.4	0.7727	0.4666	14401	Mock	0
J	1	9	204	552.9	79.92	72570	0.3543	698.9	312.7	283697	0.8372	131.1	0.8921	0.6327	442.3	0.7861	0.4845	16202	Mock	0
J	1	10	207	544.1	77.91	69869	0.3564	680.3	303.2	276711	0.834	128.3	0.8901	0.6343	434	0.7866	0.4767	18001	Mock	0
J	1	11	203	569.2	81.3	74938	0.3598	672.6	296.7	277513	0.8397	131.6	0.882	0.6219	456.6	0.7756	0.4635	19802	Mock	0
J	1	12	212	559.9	79.6	72400	0.3527	664.9	289	274038	0.8202	128.6	0.8821	0.6232	442.5	0.7798	0.4744	21601	Mock	0
J	1	13	211	543.5	78.27	70078	0.3567	664.5	297.1	286712	0.8246	128.2	0.8819	0.6222	436.4	0.7813	0.4825	23401	Mock	0
J	1	14	221	574.3	81.74	71112	0.3524	695.4	299.6	286405	0.8224	122.8	0.8821	0.6237	431.7	0.778	0.4788	25201	Mock	0
J	1	15	383	447.8	50.76	53530	0.2135	481.6	215.9	181135	0.5606	115.7	0.7106	0.4898	318.6	0.6756	0.4159	27001	Mock	0
J	1	16	214	554.4	79.44	69224	0.3642	778.7	341.4	298745	0.8095	125	0.8886	0.6287	417.8	0.779	0.4734	28801	Mock	0
J	1	17	221	597.2	87.32	74992	0.366	828.5	363.1	350732	0.821	125.6	0.8628	0.6055	452.6	0.774	0.4693	30602	Mock	0
J	1	18	290	501.2	65.13	60345	0.2772	692.3	303.7	260634	0.7094	115.3	0.8035	0.5672	371.3	0.7488	0.4592	34201	Mock	0
J	1	19	262	555.6	76	67688	0.3057	758	343.8	290263	0.7717	117.4	0.8309	0.5896	395.3	0.7562	0.4599	37801	Mock	0
J	1	20	236	596.9	85.2	75540	0.3479	840.6	380.4	344446	0.8191	127.2	0.8819	0.6274	431.8	0.7801	0.479	41401	Mock	0
J	1	21	268	517.6	70.27	63961	0.3038	709.7	327.4	305322	0.7811	119.2	0.8312	0.581	426	0.7399	0.4461	45001	Mock	0
J	1	22	247	574.2	80.24	71940	0.3349	813.7	368.3	331845	0.7917	125	0.8805	0.6263	427.8	0.7746	0.4596	48602	Mock	0
J	1	23	251	568.1	78.81	71138	0.327	757.8	343.4	316265	0.7901	124	0.8711	0.6213	450.3	0.76	0.4546	52201	Mock	0
I	1	0	158	646.8	72.32	65654	0.4308	394.4	187.5	169859	0.32	102.7	0.8081	0.5512	285	0.7607	0.457	0	Mock	0
I	1	1	455	316.4	23.07	29274	0.1675	155.9	76.93	65362	0.197	91.36	0.5964	0.4117	191.9	0.5949	0.3893	1802	Mock	0
I	1	2	184	545.4	55.98	54511	0.3675	386.6	174.5	147909	0.329	99.09	0.8066	0.5407	271.2	0.7599	0.4703	3601	Mock	0
I	1	3	178	588.2	58.17	58172	0.3787	351.1	156.9	134251	0.3087	101.1	0.8174	0.553	278.6	0.7655	0.4813	5402	Mock	0
I	1	4	176	592.5	59.98	60308	0.3827	334.3	160	130928	0.276	104.8	0.8349	0.5626	281.7	0.7651	0.4706	7201	Mock	0
I	1	5	178	580.2	59.54	61806	0.357	353.1	157	131557	0.3566	106.2	0.8125	0.5482	303.3	0.7528	0.4651	9002	Mock	0
I	1	6	179	644.8	64.95	59179	0.3965	354.6	163.1	145276	0.2295	97.81	0.8174	0.5455	289.9	0.7676	0.4692	10801	Mock	0
I	1	7	164	587.1	64.85	65028	0.3565	392.1	182.4	158245	0.3938	112	0.8228	0.5541	322.3	0.7524	0.46	12602	Mock	0
I	1	8	150	596.9	66.73	71863	0.3515	427.3	199.1	178072	0.4073	118.2	0.8273	0.5573	338.5	0.7503	0.4513	14401	Mock	0
I	1	9	291	458.2	39.61	45558	0.2145	242.6	115.6	92166	0.3033	99.46	0.6682	0.4609	237.1	0.6597	0.4228	16202	Mock	0
I	1	10	152	581.1	67.2	67601	0.3531	442.6	197	168611	0.492	112.3	0.8093	0.5415	312.3	0.7481	0.4557	18002	Mock	0
